,nombres,edades,generos,ciudades,hijos,mascotas,vehiculos,salarios
0,persona_0,40,M,Cajica,1,2,1,4051
1,persona_1,49,F,Bogotá,1,6,1,2313
2,persona_2,41,M,Cota,0,3,2,2385
3,persona_3,54,F,Bogotá,0,0,2,2575
4,persona_4,67,M,Chía,1,7,2,1475
5,persona_5,26,M,Zipaquira,3,3,2,1297
6,persona_6,21,F,Bogotá,3,0,0,2269
7,persona_7,47,M,Bogotá,0,2,2,3013
8,persona_8,49,F,Zipaquira,2,4,0,1889
9,persona_9,20,F,Bogotá,0,6,0,2282
10,persona_10,28,M,Cota,1,5,2,1868
11,persona_11,41,F,Bogotá,3,5,1,2582
12,persona_12,66,F,Zipaquira,3,1,2,4135
13,persona_13,38,F,Zipaquira,3,4,1,2227
14,persona_14,32,M,Cajica,1,9,0,1669
15,persona_15,62,M,Zipaquira,1,4,2,3775
16,persona_16,53,F,Bogotá,3,7,2,4301
17,persona_17,52,M,Chía,3,5,1,2157
18,persona_18,55,F,Chía,2,9,2,3655
19,persona_19,46,M,Cota,3,5,0,3225
20,persona_20,34,F,Cajica,2,8,2,4735
21,persona_21,32,F,Bogotá,2,1,0,4965
22,persona_22,37,F,Cota,3,6,1,4809
23,persona_23,53,M,Cajica,3,3,2,3398
24,persona_24,59,F,Cota,1,10,1,4810
25,persona_25,52,M,Cajica,1,9,2,2917
26,persona_26,65,F,Zipaquira,0,10,2,3308
27,persona_27,55,F,Bogotá,3,5,0,2063
28,persona_28,33,M,Chía,0,6,0,3369
29,persona_29,42,M,Chía,2,9,0,1310
30,persona_30,21,F,Bogotá,1,2,0,3893
31,persona_31,30,M,Zipaquira,3,7,1,4977
32,persona_32,29,F,Chía,2,1,2,1982
33,persona_33,49,F,Zipaquira,2,9,2,4233
34,persona_34,27,F,Cota,0,5,0,3273
35,persona_35,67,F,Chía,2,8,1,3534
36,persona_36,56,F,Cajica,0,3,0,3912
37,persona_37,38,M,Cajica,0,4,1,1908
38,persona_38,37,F,Bogotá,2,1,1,3653
39,persona_39,42,F,Cota,3,10,0,4207
40,persona_40,29,F,Chía,1,6,1,2051
41,persona_41,24,M,Cajica,2,5,1,1732
42,persona_42,49,M,Cota,0,8,0,1907
43,persona_43,44,M,Cajica,2,3,0,4867
44,persona_44,41,M,Chía,1,7,0,3710
45,persona_45,44,M,Cajica,2,9,0,4375
46,persona_46,49,M,Zipaquira,0,4,0,1433
47,persona_47,60,F,Cajica,0,2,0,2651
48,persona_48,38,M,Chía,0,6,0,2613
49,persona_49,20,M,Bogotá,3,0,0,1884
50,persona_50,30,M,Bogotá,3,5,2,3794
51,persona_51,33,F,Zipaquira,3,8,0,1765
52,persona_52,36,F,Cajica,3,4,1,3035
53,persona_53,21,F,Zipaquira,2,9,1,2669
54,persona_54,46,M,Cajica,3,3,2,1267
55,persona_55,31,F,Zipaquira,2,1,0,4403
56,persona_56,41,M,Cota,0,7,1,2257
57,persona_57,38,M,Chía,1,0,0,4760
58,persona_58,47,F,Zipaquira,2,5,2,3113
59,persona_59,30,M,Cajica,1,2,2,2007
60,persona_60,27,F,Chía,3,4,0,1135
61,persona_61,51,F,Cajica,2,1,2,1183
62,persona_62,41,F,Cajica,0,8,2,2888
63,persona_63,51,F,Cajica,2,4,1,1696
64,persona_64,47,F,Cota,1,8,0,3929
65,persona_65,37,F,Cajica,2,3,0,1356
66,persona_66,50,F,Zipaquira,3,8,2,977
67,persona_67,69,F,Chía,0,7,1,3926
68,persona_68,27,M,Bogotá,2,6,0,3990
69,persona_69,45,M,Bogotá,0,9,2,3032
70,persona_70,41,M,Bogotá,2,0,1,3219
71,persona_71,22,M,Bogotá,0,5,2,1980
72,persona_72,41,F,Chía,3,2,2,4845
73,persona_73,46,M,Zipaquira,0,10,0,3114
74,persona_74,48,M,Cajica,1,4,1,4417
75,persona_75,32,M,Bogotá,2,7,2,2247
76,persona_76,35,M,Cajica,3,6,2,3458
77,persona_77,20,M,Chía,2,4,1,2260
78,persona_78,57,F,Bogotá,3,7,0,3501
79,persona_79,44,F,Chía,3,6,1,4280
80,persona_80,40,F,Cajica,2,5,0,1554
81,persona_81,68,F,Zipaquira,1,10,2,1192
82,persona_82,40,F,Bogotá,1,6,0,4369
83,persona_83,59,M,Bogotá,3,4,2,4542
84,persona_84,69,F,Cajica,3,6,0,2675
85,persona_85,49,M,Bogotá,3,4,1,1294
86,persona_86,65,F,Chía,0,7,2,3617
87,persona_87,64,M,Bogotá,2,2,2,4500
88,persona_88,47,F,Bogotá,2,2,1,938
89,persona_89,69,F,Zipaquira,2,5,1,4876
90,persona_90,41,M,Cota,1,7,2,4176
91,persona_91,55,F,Cota,3,4,0,4849
92,persona_92,42,F,Bogotá,2,8,0,3291
93,persona_93,35,F,Bogotá,2,7,0,2158
94,persona_94,60,F,Zipaquira,0,4,0,4903
95,persona_95,30,F,Zipaquira,1,9,2,4364
96,persona_96,39,M,Cajica,2,1,1,2699
97,persona_97,70,F,Zipaquira,1,7,0,1376
98,persona_98,58,M,Chía,0,9,0,3166
99,persona_99,34,M,Zipaquira,1,6,0,4252
100,persona_100,63,F,Chía,3,8,2,3170
101,persona_101,55,M,Cota,3,0,2,2741
