,nombres,edades,generos,ciudades,hijos,mascotas,vehiculos,salarios
0,persona_0,64,M,Bogotá,3,10,1,2135
1,persona_1,55,F,Zipaquira,2,5,1,3695
2,persona_2,37,F,Chía,2,5,2,3391
3,persona_3,49,F,Cajica,3,10,0,3895
4,persona_4,33,M,Chía,2,3,2,1632
5,persona_5,22,M,Zipaquira,0,5,2,4644
6,persona_6,44,M,Cajica,1,3,2,4368
7,persona_7,26,F,Bogotá,3,3,2,3320
8,persona_8,47,M,Zipaquira,2,6,0,4971
9,persona_9,46,F,Chía,1,6,0,1544
10,persona_10,44,M,Bogotá,0,4,1,4644
11,persona_11,66,F,Cajica,1,7,0,4221
12,persona_12,39,F,Bogotá,2,1,2,3473
13,persona_13,40,M,Cota,3,10,0,4479
14,persona_14,60,M,Chía,1,10,0,1268
15,persona_15,20,M,Chía,3,10,2,2450
16,persona_16,61,F,Chía,1,2,1,4873
17,persona_17,27,F,Cota,0,8,2,1747
18,persona_18,41,M,Zipaquira,3,5,1,1882
19,persona_19,24,F,Bogotá,0,5,0,3162
20,persona_20,25,M,Cota,1,9,0,3901
21,persona_21,35,F,Cajica,0,4,1,3344
22,persona_22,51,M,Cajica,1,10,0,1007
23,persona_23,25,F,Cota,1,4,0,1764
24,persona_24,51,M,Zipaquira,1,6,1,1126
25,persona_25,48,F,Bogotá,1,7,2,3830
26,persona_26,33,M,Chía,2,6,2,951
27,persona_27,46,F,Cajica,0,5,2,3612
28,persona_28,65,M,Zipaquira,2,3,1,1877
29,persona_29,30,F,Cajica,3,3,1,2697
30,persona_30,40,F,Cota,3,7,0,4490
31,persona_31,22,M,Zipaquira,1,7,0,3209
32,persona_32,32,M,Zipaquira,1,2,2,3940
33,persona_33,70,M,Bogotá,2,3,2,4876
34,persona_34,22,M,Cajica,2,5,0,1513
35,persona_35,40,M,Zipaquira,3,9,0,1945
36,persona_36,55,F,Cota,3,9,2,1361
37,persona_37,24,F,Cajica,2,8,0,3579
38,persona_38,56,M,Zipaquira,2,9,0,4977
39,persona_39,27,F,Cajica,3,1,0,4277
40,persona_40,21,M,Cota,0,8,0,3207
41,persona_41,46,M,Chía,3,1,1,2990
42,persona_42,30,F,Chía,2,0,2,3954
43,persona_43,32,F,Chía,1,1,1,2051
44,persona_44,31,M,Bogotá,3,1,0,3980
45,persona_45,21,M,Bogotá,0,8,1,4885
46,persona_46,59,M,Bogotá,1,9,2,1164
47,persona_47,35,M,Zipaquira,3,2,2,2177
48,persona_48,67,F,Cajica,3,7,2,3107
49,persona_49,47,M,Cajica,2,4,0,2660
50,persona_50,61,F,Bogotá,2,2,1,2046
51,persona_51,41,F,Bogotá,3,1,0,3173
52,persona_52,30,M,Chía,1,1,1,989
53,persona_53,70,F,Zipaquira,0,10,1,1488
54,persona_54,38,M,Zipaquira,1,9,1,4673
55,persona_55,55,F,Cota,0,6,1,3172
56,persona_56,68,F,Bogotá,0,7,2,3030
57,persona_57,32,M,Bogotá,0,4,1,4684
58,persona_58,30,F,Cajica,0,5,2,1015
59,persona_59,53,F,Cota,1,1,1,4156
60,persona_60,70,F,Cota,3,1,2,1970
61,persona_61,26,F,Zipaquira,0,6,0,4149
62,persona_62,44,F,Bogotá,1,0,2,4938
63,persona_63,58,M,Zipaquira,1,5,1,4301
64,persona_64,36,F,Chía,3,4,2,1552
65,persona_65,26,M,Chía,0,8,2,4703
66,persona_66,28,M,Cajica,1,6,0,4145
67,persona_67,20,F,Bogotá,1,8,1,1318
68,persona_68,24,M,Chía,2,0,1,4041
69,persona_69,50,M,Cota,3,10,0,4873
70,persona_70,26,F,Chía,2,9,2,3703
71,persona_71,34,F,Zipaquira,2,9,1,3905
72,persona_72,29,F,Bogotá,1,9,2,2882
73,persona_73,45,F,Chía,3,7,1,4019
74,persona_74,60,M,Cajica,1,10,1,4563
75,persona_75,36,F,Chía,3,3,0,2697
76,persona_76,48,M,Zipaquira,0,8,0,1665
77,persona_77,28,M,Zipaquira,2,10,1,3717
78,persona_78,26,F,Cota,3,2,1,1153
79,persona_79,53,F,Cota,2,4,1,1319
80,persona_80,53,M,Chía,1,2,2,4131
81,persona_81,58,M,Cajica,0,2,1,4032
82,persona_82,52,M,Zipaquira,2,0,0,3600
83,persona_83,57,F,Cota,0,9,1,2385
84,persona_84,22,F,Cajica,1,3,2,2204
85,persona_85,38,F,Bogotá,1,1,1,1090
86,persona_86,28,M,Bogotá,3,1,1,3365
87,persona_87,26,M,Chía,2,8,2,2175
88,persona_88,43,F,Cajica,1,6,2,1625
89,persona_89,63,F,Bogotá,2,0,1,4591
90,persona_90,51,M,Cota,0,7,0,4525
91,persona_91,37,F,Cajica,1,2,0,1812
92,persona_92,40,F,Cota,1,6,0,4686
93,persona_93,53,F,Bogotá,2,4,1,4968
94,persona_94,24,F,Chía,2,4,2,3993
95,persona_95,60,F,Bogotá,3,6,1,2288
96,persona_96,26,M,Cajica,1,7,1,4335
97,persona_97,68,M,Cota,2,2,1,3733
98,persona_98,46,M,Zipaquira,2,3,2,4049
